frame,step,time_fs,(H2O)2,*OH,H*,H2,H2O,H2O2,H3O+,H3O2-,H5O2,HO2*,O*,O2
4322,4322,2161.0,0,3,2,8,94,1,1,0,0,0,0,1
4323,4323,2161.5,0,3,2,8,94,1,1,0,0,0,0,1
4324,4324,2162.0,0,3,2,8,94,1,1,0,0,0,0,1
4325,4325,2162.5,0,2,1,8,95,1,1,0,0,0,0,1
4326,4326,2163.0,0,2,1,8,95,1,1,0,0,0,0,1
4327,4327,2163.5,0,2,1,8,95,1,1,0,0,0,0,1
4328,4328,2164.0,0,2,2,8,95,1,1,0,0,0,0,1
4329,4329,2164.5,0,2,2,8,95,1,1,0,0,0,0,1
4330,4330,2165.0,0,2,2,8,95,1,1,0,0,0,0,1
4331,4331,2165.5,0,2,3,8,95,1,1,0,0,0,0,1
4332,4332,2166.0,0,2,4,8,95,1,1,0,0,0,0,1
4333,4333,2166.5,0,2,4,8,95,1,1,0,0,0,0,1
4334,4334,2167.0,0,2,4,8,95,1,1,0,0,0,0,1
4335,4335,2167.5,0,2,5,8,95,1,1,0,0,0,0,1
4336,4336,2168.0,0,2,5,8,95,1,1,0,0,0,0,1
4337,4337,2168.5,0,2,5,8,95,1,1,0,0,0,0,1
4338,4338,2169.0,0,2,6,8,95,1,1,0,0,0,0,1
4339,4339,2169.5,0,2,6,8,95,1,1,0,0,0,0,1
4340,4340,2170.0,0,2,6,8,95,1,1,0,0,0,0,1
4341,4341,2170.5,0,2,6,8,95,1,1,0,0,0,0,1
4342,4342,2171.0,0,3,6,8,94,1,1,0,0,0,0,1
4343,4343,2171.5,0,3,5,8,94,1,1,0,0,0,0,1
4344,4344,2172.0,0,3,3,8,94,1,1,0,0,0,0,1
4345,4345,2172.5,0,3,4,8,95,1,0,0,0,0,0,1
4346,4346,2173.0,0,3,4,8,95,1,0,0,0,0,0,1
4347,4347,2173.5,0,3,2,8,94,1,1,0,0,0,0,1
4348,4348,2174.0,0,3,2,8,94,1,1,0,0,0,0,1
4349,4349,2174.5,0,3,2,8,94,1,1,0,0,0,0,1
4350,4350,2175.0,0,3,2,8,94,1,1,0,0,0,0,1
4351,4351,2175.5,0,3,3,8,94,1,1,0,0,0,0,1
4352,4352,2176.0,0,5,3,8,94,0,1,0,0,0,0,1
4353,4353,2176.5,0,5,3,8,94,0,1,0,0,0,0,1
4354,4354,2177.0,0,4,2,8,95,0,1,0,0,0,0,1
4355,4355,2177.5,0,4,2,8,95,0,1,0,0,0,0,1
4356,4356,2178.0,0,4,2,8,95,0,1,0,0,0,0,1
4357,4357,2178.5,0,4,2,8,95,0,1,0,0,0,0,1
4358,4358,2179.0,0,4,3,8,95,0,1,0,0,0,0,1
4359,4359,2179.5,0,4,3,8,95,0,1,0,0,0,0,1
4360,4360,2180.0,0,4,6,8,95,0,1,0,0,0,0,1
4361,4361,2180.5,0,4,6,8,95,0,1,0,0,0,0,1
4362,4362,2181.0,0,4,6,8,95,0,1,0,0,0,0,1
4363,4363,2181.5,0,4,6,8,96,0,0,0,0,0,0,1
4364,4364,2182.0,0,4,5,8,96,0,0,0,0,0,0,1
4365,4365,2182.5,0,4,5,8,96,0,0,0,0,0,0,1
4366,4366,2183.0,0,4,3,8,96,0,0,0,0,0,0,1
4367,4367,2183.5,0,4,3,8,96,0,0,0,0,0,0,1
4368,4368,2184.0,0,4,4,8,96,0,0,0,0,0,0,1
4369,4369,2184.5,0,4,4,8,96,0,0,0,0,0,0,1
4370,4370,2185.0,0,4,3,8,95,0,1,0,0,0,0,1
4371,4371,2185.5,0,4,3,8,95,0,1,0,0,0,0,1
4372,4372,2186.0,0,4,3,8,95,0,1,0,0,0,0,1
4373,4373,2186.5,0,4,3,8,95,0,1,0,0,0,0,1
4374,4374,2187.0,0,4,4,8,95,0,1,0,0,0,0,1
4375,4375,2187.5,0,4,4,8,95,0,1,0,0,0,0,1
4376,4376,2188.0,0,4,2,8,95,0,1,0,0,0,0,1
4377,4377,2188.5,0,4,3,8,95,0,1,0,0,0,0,1
4378,4378,2189.0,0,4,3,8,95,0,1,0,0,0,0,1
4379,4379,2189.5,0,2,3,8,95,1,1,0,0,0,0,1
4380,4380,2190.0,0,2,4,8,95,1,1,0,0,0,0,1
4381,4381,2190.5,0,2,4,8,95,1,1,0,0,0,0,1
4382,4382,2191.0,0,2,4,8,95,1,1,0,0,0,0,1
4383,4383,2191.5,0,2,3,8,95,1,1,0,0,0,0,1
4384,4384,2192.0,0,2,4,8,95,1,1,0,0,0,0,1
4385,4385,2192.5,0,2,3,8,95,1,1,0,0,0,0,1
4386,4386,2193.0,0,2,3,8,95,1,1,0,0,0,0,1
4387,4387,2193.5,0,2,2,8,95,1,1,0,0,0,0,1
4388,4388,2194.0,0,3,3,8,94,1,1,0,0,0,0,1
4389,4389,2194.5,0,3,2,8,94,1,1,0,0,0,0,1
4390,4390,2195.0,0,3,2,8,94,1,1,0,0,0,0,1
4391,4391,2195.5,0,3,2,8,94,1,1,0,0,0,0,1
